Planeta,Metodo,NumPlanetas,PeriodoOrbital,SemiejeMayor,Excentricidad,Inclinacion,MasaJup,RadioJup,Densidad,Distancia,MagnitudOptica,TempEfectiva,MasaEstelar,RadioEstelar,TamanoPlaneta,DistanciaCat,EdadEstrellaCat,MetodoSimplificado,TipoOrbita,SesgoTamano
Kepler-263 c,Transit,2,47.332773,0.242,,,,0.22,,891.0,15.391,5265.0,,0.79,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-264 b,Transit,2,40.806231,0.249,,,,0.297,,955.0,13.038,6158.0,,1.55,Pequeño,Lejano,Caliente,Transito,Desconocida,Subdetectado
Kepler-264 c,Transit,2,140.101261,0.566,,,,0.252,,955.0,13.038,6158.0,,1.55,Pequeño,Lejano,Caliente,Transito,Desconocida,Subdetectado
Kepler-265 b,Transit,4,6.846262,0.069,,,,0.166,,1360.0,15.381,5835.0,,1.1,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-265 c,Transit,4,17.028937,0.127,,,,0.235,,1360.0,15.381,5835.0,,1.1,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-265 d,Transit,4,43.130617,0.236,,,,0.222,,1360.0,15.381,5835.0,,1.1,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-265 e,Transit,4,67.831024,0.319,,,,0.231,,1360.0,15.381,5835.0,,1.1,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-266 b,Transit,2,6.61833,0.071,,,,0.221,,1090.0,15.59,5885.0,,1.03,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-266 c,Transit,2,107.723601,0.457,,,,0.347,,1090.0,15.59,5885.0,,1.03,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-267 b,Transit,3,3.353728,0.037,,,,0.177,,281.0,15.438,4258.0,,0.56,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
Kepler-267 c,Transit,3,6.87745,0.06,,,,0.19,,281.0,15.438,4258.0,,0.56,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
Kepler-267 d,Transit,3,28.464515,0.154,,,,0.203,,281.0,15.438,4258.0,,0.56,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
Kepler-268 b,Transit,2,25.934138,0.18,,,,0.227,,818.0,13.703,6081.0,,1.27,Pequeño,Lejano,Caliente,Transito,Desconocida,Subdetectado
Kepler-268 c,Transit,2,83.446393,0.391,,,,0.302,,818.0,13.703,6081.0,,1.27,Pequeño,Lejano,Caliente,Transito,Desconocida,Subdetectado
Kepler-269 b,Transit,2,5.326718,0.061,,,,0.22,,1193.0,15.808,5847.0,,0.96,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-269 c,Transit,2,8.127899,0.081,,,,0.151,,1193.0,15.808,5847.0,,0.96,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-27 b,Transit,2,15.3348,0.118,,,9.11,0.357,,1140.0,15.855,5400.0,0.65,0.59,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-27 c,Transit,2,31.3309,0.191,,,13.8,0.437,,1140.0,15.855,5400.0,0.65,0.59,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-270 b,Transit,2,11.476094,0.107,,,,0.179,,1019.0,13.908,6067.0,,1.46,Pequeño,Lejano,Caliente,Transito,Desconocida,Subdetectado
Kepler-270 c,Transit,2,25.262887,0.18,,,,0.158,,1019.0,13.908,6067.0,,1.46,Pequeño,Lejano,Caliente,Transito,Desconocida,Subdetectado
Kepler-271 b,Transit,3,10.43547805,,,,,0.11,,418.0,13.404,5555.0,0.9,0.87,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
Kepler-271 c,Transit,3,7.41086267,,,,,0.085,,418.0,13.404,5555.0,0.9,0.87,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
Kepler-271 d,Transit,3,5.24972541,,,,,0.059,,418.0,13.404,5555.0,0.9,0.87,Pequeño,Medio,Media,Transito,Desconocida,Subdetectado
Kepler-272 b,Transit,3,2.971353,0.038,,,,0.128,,699.0,14.678,5297.0,,0.93,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-272 c,Transit,3,6.057342,0.061,,,,0.16,,699.0,14.678,5297.0,,0.93,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-272 d,Transit,3,10.937304,0.091,,,,0.201,,699.0,14.678,5297.0,,0.93,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-273 b,Transit,2,2.936532,0.037,,,,0.134,,874.0,14.968,5626.0,,0.81,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
Kepler-273 c,Transit,2,8.014927,0.073,,,,0.177,,874.0,14.968,5626.0,,0.81,Pequeño,Lejano,Media,Transito,Desconocida,Subdetectado
